0.00055371,2,43,40,7
0.00108225,2,44,67,7
0.0015873,2,45,67,7
0.00207039,2,46,13,7
0.00253293,2,47,10,7
0.00297619,2,48,40,7
0.00340136,2,49,22,7
0.00380952,2,50,22,7
0.00420168,2,51,13,7
0.00457875,2,52,17,7
0.0049416,2,53,4,7
0.00529101,2,54,10,7
0.00562771,2,55,10,7
0.00595238,2,56,31,7
0.00626566,2,57,10,7
0.00656814,2,58,6,7
0.00686037,2,59,3,7
0.00714286,2,60,22,7
0.00741608,2,61,2,7
0.00768049,2,62,3,7
0.00793651,2,63,22,7
0.00818452,2,64,6,7
0.00842491,2,65,5,7
0.05,2,6,7,5
0.0738095,2,7,3,5
0.0916667,2,8,4,5
0.105556,2,9,3,5
0.116667,2,10,2,5
0.216667,3,5,19,4
0.107143,2,7,3,6
0.125,2,8,3,6
0.138889,2,9,1,6
0.15,2,10,1,6
0.25,3,6,8,4
0.416667,4,4,27,3
0.00865801,2,66,13,7
0.00888415,2,67,1,7
0.00910364,2,68,5,7
0.00931677,2,69,6,7
0.00952381,2,70,13,7
0.00972502,2,71,1,7
0.00992063,2,72,13,7
0.0101109,2,73,1,7
0.010296,2,74,3,7
0.0104762,2,75,6,7
0.0106516,2,76,5,7
0.0108225,2,77,9,7
0.010989,2,78,4,7
0.0111513,2,79,2,7
0.0113095,2,80,7,7
0.0114638,2,81,3,7
0.0116144,2,82,3,7
0.0119048,2,84,22,7
0.0120448,2,85,2,7
0.0123153,2,87,1,7
0.0124459,2,88,1,7
0.0126984,2,90,6,7
0.0128205,2,91,5,7
0.0132832,2,95,1,7
0.0133929,2,96,2,7
0.0136054,2,98,1,7
0.0138095,2,100,1,7
0.0142857,2,105,2,7
0.0145503,2,108,1,7
0.0147186,2,110,1,7
0.014881,2,112,1,7
0.0238095,3,7,587,3
0.00166667,2,25,52,8
0.00320513,2,26,31,8
0.00462963,2,27,24,8
0.00595238,2,28,31,8
0.00718391,2,29,8,8
0.00833333,2,30,31,8
0.0094086,2,31,4,8
0.0104167,2,32,16,8
0.0113636,2,33,10,8
0.0122549,2,34,8,8
0.0130952,2,35,9,8
0.0138889,2,36,17,8
0.0146396,2,37,3,8
0.0153509,2,38,4,8
0.0160256,2,39,8,8
0.0166667,2,40,22,8
0.0172764,2,41,2,8
0.0178571,2,42,10,8
0.0184109,2,43,1,8
0.0189394,2,44,9,8
0.0194444,2,45,9,8
0.0199275,2,46,3,8
0.0208333,2,48,13,8
0.0212585,2,49,1,8
0.0216667,2,50,2,8
0.0220588,2,51,2,8
0.0224359,2,52,2,8
0.0231481,2,54,2,8
0.0234848,2,55,1,8
0.0238095,2,56,4,8
0.025,2,60,2,8
0.0257937,2,63,1,8
0.0416667,3,8,342,3
0.00292398,2,19,22,9
0.00555556,2,20,37,9
0.00793651,2,21,22,9
0.010101,2,22,7,9
0.0120773,2,23,6,9
0.0138889,2,24,17,9
0.0155556,2,25,6,9
0.017094,2,26,7,9
0.0185185,2,27,10,9
0.0198413,2,28,9,9
0.0210728,2,29,2,9
0.0222222,2,30,7,9
0.0232975,2,31,2,9
0.0243056,2,32,4,9
0.0252525,2,33,6,9
0.0261438,2,34,3,9
0.0269841,2,35,4,9
0.0277778,2,36,12,9
0.0299145,2,39,1,9
0.0305556,2,40,2,9
0.031746,2,42,2,9
0.0333333,2,45,3,9
0.0555556,3,9,191,3
0.00416667,2,16,40,10
0.00784314,2,17,13,10
0.0111111,2,18,22,10
0.0140351,2,19,6,10
0.0166667,2,20,22,10
0.0190476,2,21,13,10
0.0212121,2,22,6,10
0.0231884,2,23,3,10
0.025,2,24,10,10
0.0266667,2,25,7,10
0.0282051,2,26,4,10
0.0296296,2,27,6,10
0.0309524,2,28,6,10
0.0333333,2,30,13,10
0.0354167,2,32,1,10
0.0363636,2,33,1,10
0.0380952,2,35,2,10
0.0388889,2,36,2,10
0.0416667,2,40,1,10
0.0666667,3,10,178,3
0.004329,2,14,13,11
0.00909091,2,15,13,11
0.0132576,2,16,9,11
0.016934,2,17,2,11
0.020202,2,18,7,11
0.023126,2,19,1,11
0.0257576,2,20,5,11
0.0281385,2,21,3,11
0.030303,2,22,4,11
0.0322793,2,23,2,11
0.0340909,2,24,5,11
0.0357576,2,25,1,11
0.037296,2,26,2,11
0.0757576,3,11,67,3
0.00641026,2,13,22,12
0.0119048,2,14,22,12
0.0166667,2,15,22,12
0.0208333,2,16,13,12
0.0245098,2,17,6,12
0.0277778,2,18,12,12
0.0307018,2,19,4,12
0.0333333,2,20,13,12
0.0357143,2,21,7,12
0.0378788,2,22,6,12
0.0416667,2,24,10,12
0.0433333,2,25,1,12
0.0448718,2,26,1,12
0.0462963,2,27,1,12
0.047619,2,28,1,12
0.05,2,30,1,12
0.0833333,3,12,142,3
0.018315,2,14,3,13
0.0230769,2,15,6,13
0.0272436,2,16,2,13
0.0309201,2,17,1,13
0.034188,2,18,3,13
0.037112,2,19,1,13
0.0397436,2,20,2,13
0.0421245,2,21,3,13
0.0480769,2,24,1,13
0.0897436,3,13,22,3
0.0285714,2,15,4,14
0.0327381,2,16,4,14
0.0364146,2,17,1,14
0.0396825,2,18,6,14
0.0426065,2,19,1,14
